City,Country,Latitude,Longitude,Date,Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Cloudiness,Max Temp,Wind Speed,Lat,Lng,Humidity
Lorengau,PG,,,1563683340,,,,,100.0,82.49,9.75,-2.02,147.27,80.0
Clyde River,CA,,,1563683341,,,,,90.0,37.4,12.75,70.47,-68.59,100.0
Batagay-Alyta,RU,,,1563683342,,,,,98.0,60.71,26.13,67.8,130.41,43.0
Saldanha,PT,,,1563682965,,,,,28.0,64.13,3.62,41.42,-6.55,68.0
Atuona,PF,,,1563682967,,,,,0.0,79.97,10.22,-9.8,-139.03,75.0
Raudeberg,NO,,,1563683345,,,,,100.0,59.0,8.05,61.99,5.14,93.0
Xuddur,SO,,,1563683346,,,,,95.0,69.53,15.32,4.12,43.89,80.0
Dakar,SN,,,1563683346,,,,,0.0,77.0,3.36,14.69,-17.45,83.0
Herat,AF,,,1563683350,,,,,0.0,95.0,13.87,34.35,62.22,12.0
Lompoc,US,,,1563683351,,,,,90.0,62.01,8.93,34.64,-120.46,93.0
Avarua,CK,,,1563683351,,,,,93.0,71.6,3.36,-21.21,-159.78,68.0
Naze,NG,,,1563683355,,,,,100.0,72.77,1.07,5.43,7.07,95.0
Hobart,AU,,,1563682839,,,,,20.0,59.0,27.51,-42.88,147.33,41.0
Tura,RU,,,1563683357,,,,,67.0,67.37,9.78,64.27,100.22,36.0
Sciacca,IT,,,1563683216,,,,,40.0,71.01,3.36,37.51,13.08,88.0
Saint Anthony,US,,,1563682974,,,,,1.0,71.6,8.05,43.97,-111.68,37.0
Airai,TL,,,1563683357,,,,,88.0,81.95,5.06,-8.93,125.41,45.0
Rikitea,PF,,,1563682980,,,,,0.0,67.55,7.81,-23.12,-134.97,51.0
Upernavik,GL,,,1563683026,,,,,100.0,44.51,4.34,72.79,-56.15,95.0
Busselton,AU,,,1563682912,,,,,100.0,64.0,27.69,-33.64,115.35,46.0
Ancud,CL,,,1563683022,,,,,75.0,37.4,5.82,-41.87,-73.83,100.0
Port Blair,IN,,,1563682915,,,,,40.0,80.6,4.7,11.67,92.75,88.0
Albany,US,,,1563682928,,,,,1.0,75.0,3.36,42.65,-73.75,88.0
Vaini,IN,,,1563682940,,,,,75.0,75.2,6.93,15.34,74.49,94.0
Ugoofaaru,MV,,,1563683317,,,,,100.0,83.39,19.51,5.67,73.0,76.0
Boende,CD,,,1563683361,,,,,83.0,70.07,1.63,-0.28,20.88,95.0
Andilamena,MG,,,1563683365,,,,,0.0,55.85,0.96,-17.01,48.57,94.0
Bang Saphan,TH,,,1563683366,,,,,20.0,87.8,6.93,11.21,99.51,70.0
Hermanus,ZA,,,1563682965,,,,,89.0,45.0,7.0,-34.42,19.24,80.0
Punta Arenas,CL,,,1563682921,,,,,40.0,33.8,9.17,-53.16,-70.91,86.0
Turayf,SA,,,1563683367,,,,,0.0,75.2,6.93,31.68,38.65,53.0
Barrow,AR,,,1563683027,,,,,100.0,61.97,13.78,-38.31,-60.23,88.0
Quatre Cocos,MU,,,1563683370,,,,,20.0,72.0,4.7,-20.21,57.76,93.0
Havre-Saint-Pierre,CA,,,1563683348,,,,,90.0,55.4,6.93,50.23,-63.6,100.0
Puerto Ayora,EC,,,1563682893,,,,,8.0,70.0,1.01,-0.74,-90.35,93.0
Fortuna,US,,,1563683078,,,,,90.0,66.0,6.93,40.6,-124.16,87.0
Mobaye,CF,,,1563683371,,,,,36.0,67.55,0.83,4.33,21.18,97.0
Honningsvag,NO,,,1563683371,,,,,4.0,50.63,3.51,70.98,25.97,83.0
Santa Lucia,IT,,,1563683371,,,,,0.0,72.0,3.36,41.98,12.66,72.0
Margate,AU,,,1563683374,,,,,20.0,57.2,26.4,-43.03,147.26,41.0
Yellowknife,CA,,,1563682907,,,,,20.0,69.8,6.93,62.45,-114.38,43.0
Qaanaaq,GL,,,1563683063,,,,,92.0,39.83,2.66,77.48,-69.36,84.0
Bethel,US,,,1563683375,,,,,90.0,59.0,10.29,60.79,-161.76,72.0
Castro,CL,,,1563682941,,,,,75.0,37.4,5.82,-42.48,-73.76,100.0
Fairbanks,US,,,1563683400,,,,,20.0,66.2,17.22,64.84,-147.72,55.0
Los Llanos de Aridane,ES,,,1563683401,,,,,90.0,71.6,13.87,28.66,-17.92,78.0
Bathsheba,BB,,,1563683402,,,,,20.0,80.6,14.99,13.22,-59.52,78.0
Saint-Philippe,CA,,,1563683405,,,,,1.0,81.0,6.93,45.36,-73.48,83.0
Marsabit,KE,,,1563683405,,,,,17.0,79.34,11.3,2.34,37.99,49.0
Bredasdorp,ZA,,,1563683405,,,,,52.0,44.01,5.82,-34.53,20.04,86.0
Santo Anastacio,BR,,,1563683405,,,,,0.0,66.2,9.17,-21.84,-51.61,48.0
Ushuaia,AR,,,1563682922,,,,,0.0,32.0,6.93,-54.81,-68.31,90.0
Saskylakh,RU,,,1563682979,,,,,8.0,62.51,8.41,71.97,114.09,39.0
Kaitangata,NZ,,,1563682931,,,,,100.0,50.0,7.0,-46.28,169.85,92.0
Moose Factory,CA,,,1563683406,,,,,90.0,46.4,5.82,51.26,-80.61,100.0
Khatanga,RU,,,1563683407,,,,,12.0,80.6,11.54,71.98,102.47,27.0
San Mateo del Mar,MX,,,1563683362,,,,,68.0,77.63,11.25,16.21,-94.98,83.0
Talnakh,RU,,,1563683407,,,,,0.0,73.4,15.66,69.49,88.39,33.0
Dalvik,SE,,,1563683410,,,,,98.0,60.8,9.17,57.79,14.13,77.0
Faya,SA,,,1563683412,,,,,0.0,68.0,0.87,18.39,42.45,8.0
Edinet,MD,,,1563683412,,,,,0.0,61.0,3.49,48.17,27.3,85.0
Corinto,CO,,,1563683412,,,,,75.0,75.2,4.7,3.17,-76.26,73.0
Agutaya,PH,,,1563683412,,,,,100.0,84.2,4.63,11.15,120.94,69.0
Dikson,RU,,,1563682931,,,,,100.0,40.55,6.31,73.51,80.55,100.0
Mayumba,GA,,,1563683415,,,,,91.0,71.06,1.92,-3.44,10.65,91.0
Thompson,CA,,,1563683024,,,,,40.0,57.2,4.34,55.74,-97.86,67.0
Kapaa,US,,,1563683024,,,,,75.0,86.0,16.11,22.08,-159.32,69.0
Lebu,ET,,,1563682936,,,,,40.0,55.4,9.17,8.96,38.73,87.0
Zhanaozen,KZ,,,1563683417,,,,,0.0,89.96,16.46,43.35,52.85,24.0
Pasir Mas,MY,,,1563683334,,,,,75.0,87.8,4.7,6.05,102.14,79.0
Jalu,LY,,,1563683420,,,,,0.0,77.72,9.69,29.03,21.55,49.0
Ilulissat,GL,,,1563682912,,,,,26.0,44.6,5.32,69.22,-51.1,87.0
Georgetown,GY,,,1563682946,,,,,40.0,75.2,2.24,6.8,-58.16,100.0
Cayenne,GF,,,1563683403,,,,,36.0,75.2,3.31,4.94,-52.33,94.0
Hilo,US,,,1563683027,,,,,1.0,81.0,6.93,19.71,-155.08,65.0
Itarema,BR,,,1563683425,,,,,57.0,69.26,5.82,-2.92,-39.92,93.0
Vanavara,RU,,,1563683425,,,,,43.0,72.14,13.2,60.35,102.28,32.0
Rjukan,NO,,,1563683426,,,,,100.0,57.0,5.01,59.88,8.59,99.0
Mataura,NZ,,,1563682978,,,,,58.0,51.01,3.0,-46.19,168.86,96.0
Hithadhoo,MV,,,1563682767,,,,,100.0,82.85,15.75,-0.6,73.08,78.0
Port Elizabeth,US,,,1563683129,,,,,1.0,86.0,3.36,39.31,-74.98,88.0
Lata,IN,,,1563683426,,,,,32.0,49.64,6.6,30.78,78.62,93.0
Chuy,UY,,,1563683352,,,,,27.0,61.79,11.83,-33.69,-53.46,85.0
Lavrentiya,RU,,,1563683430,,,,,100.0,48.02,10.8,65.58,-170.99,95.0
Ledyard,US,,,1563683430,,,,,1.0,84.99,4.7,41.44,-72.02,78.0
Dauriya,RU,,,1563683431,,,,,76.0,68.72,16.55,49.93,116.85,58.0
Meadow Lake,CA,,,1563683432,,,,,0.0,53.06,1.19,54.13,-108.44,65.0
Petropavlovsk-Kamchatskiy,RU,,,1563683056,,,,,40.0,73.4,20.13,53.05,158.65,60.0
San Cristobal,HN,,,1563683461,,,,,82.0,66.2,3.58,14.68,-86.92,94.0
Tiksi,RU,,,1563682914,,,,,40.0,40.37,17.16,71.64,128.87,68.0
Broken Hill,AU,,,1563683465,,,,,19.0,62.6,10.29,-31.97,141.45,45.0
Lazaro Cardenas,MX,,,1563683466,,,,,25.0,82.99,3.0,28.39,-105.62,37.0
Bluff,AU,,,1563683141,,,,,64.0,69.89,11.03,-23.58,149.07,58.0
Genhe,CN,,,1563683139,,,,,100.0,63.77,4.94,50.78,121.52,96.0
Port Alfred,ZA,,,1563682635,,,,,93.0,45.0,7.0,-33.59,26.89,82.0
Burnie,AU,,,1563683467,,,,,64.0,47.12,6.71,-41.05,145.91,73.0
Sao Filipe,CV,,,1563683467,,,,,100.0,72.5,12.5,14.9,-24.5,80.0
Chara,GR,,,1563683470,,,,,0.0,72.0,1.7,39.42,22.43,87.0
Pevek,RU,,,1563683046,,,,,60.0,34.61,6.69,69.7,170.27,85.0
Caravelas,BR,,,1563683471,,,,,39.0,70.34,11.61,-17.73,-39.27,80.0
Daru,PG,,,1563683471,,,,,80.0,77.18,9.55,-9.07,143.21,71.0
Shitanjing,CN,,,1563683471,,,,,100.0,87.01,8.99,39.23,106.34,28.0
Souillac,FR,,,1563683025,,,,,0.0,60.8,2.24,45.6,-0.6,93.0
Arraial do Cabo,BR,,,1563682975,,,,,11.0,67.91,23.91,-22.97,-42.02,81.0
Vila Velha,BR,,,1563683472,,,,,20.0,86.0,8.05,-3.71,-38.6,74.0
Tasiilaq,GL,,,1563682988,,,,,100.0,37.4,2.33,65.61,-37.64,93.0
Bereda,ES,,,1563683475,,,,,75.0,61.0,1.12,43.27,-7.54,100.0
Nikolskoye,RU,,,1563683476,,,,,0.0,62.01,4.47,59.7,30.79,82.0
Ayia Galini,GR,,,1563683478,,,,,1.0,79.0,4.7,35.1,24.68,78.0
North Myrtle Beach,US,,,1563683480,,,,,1.0,82.4,11.41,33.83,-78.68,94.0
Mareeba,AU,,,1563683480,,,,,90.0,79.0,9.17,-16.99,145.42,64.0
Tezu,IN,,,1563683481,,,,,92.0,86.72,3.71,27.93,96.16,62.0
Kruisfontein,ZA,,,1563683021,,,,,0.0,41.63,7.61,-34.0,24.73,82.0
Provideniya,RU,,,1563683482,,,,,100.0,49.46,13.0,64.42,-173.23,94.0
Portland,US,,,1563683462,,,,,1.0,80.6,4.7,43.66,-70.25,78.0
Sturgis,CA,,,1563683482,,,,,12.0,49.82,4.92,51.94,-102.54,84.0
Codrington,AU,,,1563682978,,,,,0.0,71.6,2.24,-28.95,153.24,37.0
Butaritari,KI,,,1563682938,,,,,57.0,83.93,5.91,3.07,172.79,67.0
Ribeira Grande,PT,,,1563682982,,,,,0.0,72.23,24.07,38.52,-28.7,82.0
Sao Felix do Xingu,BR,,,1563683483,,,,,22.0,67.82,2.66,-6.64,-51.99,69.0
Turukhansk,RU,,,1563683486,,,,,0.0,76.64,7.72,65.8,87.96,29.0
Mahebourg,MU,,,1563682917,,,,,20.0,72.0,4.7,-20.41,57.7,93.0
Griffith,AU,,,1563683487,,,,,79.0,64.99,11.41,-34.29,146.06,42.0
Kansanshi,ZM,,,1563683491,,,,,0.0,58.28,5.97,-12.1,26.43,37.0
Dukat,AL,,,1563683495,,,,,0.0,77.0,5.32,40.25,19.57,61.0
New Norfolk,AU,,,1563683520,,,,,20.0,57.2,26.4,-42.78,147.06,41.0
Husavik,CA,,,1563683523,,,,,0.0,61.0,5.99,50.56,-96.99,78.0
Tadine,NC,,,1563683523,,,,,17.0,68.0,22.35,-21.55,167.88,69.0
Piatra Soimului,RO,,,1563683526,,,,,0.0,61.0,2.82,46.83,26.43,100.0
Benghazi,LY,,,1563683526,,,,,0.0,77.18,11.1,32.12,20.07,71.0
Halifax,CA,,,1563683402,,,,,20.0,77.0,9.17,44.65,-63.58,69.0
Fort Nelson,CA,,,1563683531,,,,,75.0,77.0,3.36,58.81,-122.69,47.0
Nome,US,,,1563683533,,,,,1.0,84.99,5.64,30.04,-94.42,100.0
Chokurdakh,RU,,,1563683047,,,,,100.0,38.39,14.14,70.62,147.9,74.0
Nogales,CL,,,1563683534,,,,,90.0,52.0,3.36,-32.73,-71.2,93.0
Louviers,FR,,,1563683534,,,,,0.0,57.0,5.82,49.22,1.16,100.0
Kingsport,US,,,1563683534,,,,,90.0,75.2,2.46,36.55,-82.56,88.0
The Valley,AI,,,1563683415,,,,,40.0,82.4,17.76,18.22,-63.06,78.0
Victoria,BN,,,1563683402,,,,,75.0,91.4,2.24,5.28,115.24,59.0
Cabo San Lucas,MX,,,1563683025,,,,,40.0,78.01,5.82,22.89,-109.91,73.0
Gizo,IL,,,1563683536,,,,,20.0,77.0,5.82,31.8,34.94,73.0
Prince Rupert,CA,,,1563683538,,,,,40.0,60.8,4.7,54.32,-130.32,72.0
Sur,OM,,,1563683538,,,,,17.0,89.78,3.96,22.57,59.53,45.0
Ukiah,US,,,1563683540,,,,,0.0,71.01,2.17,39.15,-123.21,56.0
Namibe,AO,,,1563683546,,,,,0.0,68.18,0.45,-15.19,12.15,81.0
Bacong,PH,,,1563683550,,,,,95.0,82.22,10.83,6.14,124.31,79.0
San Patricio,PY,,,1563683551,,,,,0.0,69.62,14.07,-26.98,-56.83,73.0
Tuktoyaktuk,CA,,,1563682964,,,,,75.0,57.2,41.38,69.44,-133.03,76.0
Mount Isa,AU,,,1563683555,,,,,9.0,82.4,5.82,-20.73,139.49,10.0
Santa Maria,BR,,,1563683556,,,,,0.0,59.0,2.24,-16.02,-48.01,72.0
Ola,RU,,,1563683556,,,,,33.0,56.3,9.48,59.58,151.3,64.0
West Point,US,,,1563683344,,,,,20.0,75.2,4.7,33.61,-88.65,94.0
Cape Town,ZA,,,1563683398,,,,,0.0,45.0,4.7,-33.93,18.42,93.0
Mountain Home,US,,,1563683551,,,,,1.0,78.8,10.29,43.13,-115.69,19.0
Arman,RU,,,1563683526,,,,,76.0,58.1,4.68,59.7,150.17,50.0
Lasa,CY,,,1563683021,,,,,20.0,75.2,8.05,34.92,32.53,94.0
Usinsk,RU,,,1563683560,,,,,18.0,69.8,6.87,66.0,57.56,59.0
Gostovici,BA,,,1563683561,,,,,0.0,57.2,2.24,44.41,18.16,93.0
Ponta do Sol,BR,,,1563683561,,,,,81.0,53.06,9.71,-20.63,-46.0,82.0
Jamestown,AU,,,1563682852,,,,,0.0,55.13,12.08,-33.21,138.6,63.0
Coffeyville,US,,,1563683562,,,,,1.0,84.2,10.29,37.04,-95.62,74.0
Broome,GB,,,1563683562,,,,,44.0,57.99,5.82,52.47,1.45,93.0
East London,ZA,,,1563683041,,,,,0.0,46.4,9.17,-33.02,27.91,70.0
Jackson,US,,,1563683563,,,,,1.0,64.4,5.82,43.48,-110.76,48.0
Khuzdar,PK,,,1563683563,,,,,47.0,85.82,6.15,27.8,66.62,38.0
Belyy Yar,RU,,,1563683563,,,,,40.0,64.4,2.24,53.6,91.39,77.0
Touros,BR,,,1563683307,,,,,69.0,78.71,19.04,-5.2,-35.46,78.0
Minas de Barroteran,MX,,,1563683564,,,,,0.0,82.76,3.47,27.63,-101.28,39.0
Moerai,PF,,,1563683580,,,,,51.0,71.96,23.35,-22.43,-151.33,81.0
Goure,NE,,,1563683581,,,,,26.0,83.48,13.49,13.98,10.27,47.0
Geraldton,CA,,,1563683136,,,,,75.0,60.8,5.82,49.72,-86.95,87.0
Nioro,GM,,,1563683581,,,,,31.0,77.18,4.32,13.79,-15.05,75.0
Port Keats,AU,,,1563683584,,,,,92.0,79.88,12.41,-14.25,129.55,60.0
Mount Gambier,AU,,,1563683023,,,,,90.0,55.4,14.99,-37.83,140.78,62.0
Shetpe,KZ,,,1563683585,,,,,0.0,89.42,9.26,44.14,52.16,29.0
Severo-Kurilsk,RU,,,1563683585,,,,,88.0,45.86,12.48,50.68,156.12,95.0
Nicoya,CR,,,1563683585,,,,,0.0,84.2,18.34,10.15,-85.45,66.0
Cidreira,BR,,,1563683587,,,,,0.0,61.16,8.95,-30.17,-50.22,88.0
Camacha,PT,,,1563683085,,,,,40.0,69.8,12.75,33.08,-16.33,77.0
Carnarvon,ZA,,,1563683082,,,,,95.0,32.63,13.13,-30.97,22.13,71.0
Rehoboth,NA,,,1563683587,,,,,0.0,41.54,3.78,-23.31,17.08,39.0
Lagoa,PT,,,1563683592,,,,,0.0,71.6,4.7,37.14,-8.45,68.0
Grand Gaube,MU,,,1563683595,,,,,20.0,72.0,4.7,-20.01,57.66,93.0
Bonavista,CA,,,1563683596,,,,,41.0,48.99,2.8,48.65,-53.11,86.0
Juneau,US,,,1563683358,,,,,90.0,57.2,2.42,58.3,-134.42,87.0
Port Hardy,CA,,,1563683598,,,,,75.0,60.8,3.36,50.7,-127.42,63.0
Kavaratti,IN,,,1563683600,,,,,90.0,80.6,16.11,10.57,72.64,88.0
Mosetse,BW,,,1563683601,,,,,0.0,53.24,15.41,-20.64,26.64,22.0
Bedesa,ET,,,1563683601,,,,,29.0,73.76,8.95,8.9,40.78,62.0
Jawhar,IN,,,1563683601,,,,,99.0,86.72,4.54,19.91,73.23,70.0
Bambous Virieux,MU,,,1563683606,,,,,20.0,72.0,4.7,-20.34,57.76,93.0
Vila Franca do Campo,PT,,,1563683611,,,,,20.0,69.8,10.29,37.72,-25.43,88.0
Vestmannaeyjar,IS,,,1563683613,,,,,85.0,51.26,6.13,63.44,-20.27,92.0
Loukhi,RU,,,1563683616,,,,,90.0,56.3,1.83,66.08,33.04,79.0
Sao Joao da Barra,BR,,,1563683617,,,,,20.0,60.26,2.44,-21.64,-41.05,94.0
Vilhena,BR,,,1563683617,,,,,100.0,72.68,3.22,-12.74,-60.15,54.0
Yarmouth,CA,,,1563683407,,,,,75.0,68.0,11.41,43.84,-66.12,100.0
Srednekolymsk,RU,,,1563683617,,,,,57.0,58.82,11.7,67.46,153.71,54.0
Torbay,CA,,,1563683618,,,,,90.0,51.01,4.7,47.66,-52.73,93.0
Hofn,IS,,,1563683120,,,,,100.0,39.65,6.62,64.25,-15.21,98.0
Antsohihy,MG,,,1563683618,,,,,2.0,75.38,4.32,-14.88,47.99,64.0
Kununurra,AU,,,1563683619,,,,,9.0,86.0,6.93,-15.77,128.74,40.0
Zwedru,LR,,,1563683620,,,,,98.0,70.88,3.06,6.07,-8.13,97.0
Morondava,MG,,,1563683621,,,,,1.0,69.08,10.47,-20.3,44.28,81.0
Ramnagar,IN,,,1563683621,,,,,0.0,96.62,4.72,27.17,84.33,49.0
Santa Isabel do Rio Negro,BR,,,1563683622,,,,,0.0,70.88,2.01,-0.41,-65.02,98.0
Libreville,GA,,,1563683439,,,,,40.0,77.0,5.82,0.39,9.45,88.0
Mayo,CA,,,1563683624,,,,,90.0,75.2,5.82,63.59,-135.9,50.0
Oxford,US,,,1563683412,,,,,1.0,75.2,3.94,33.61,-85.83,94.0
Mar del Plata,AR,,,1563683123,,,,,0.0,34.07,5.37,-46.43,-67.52,66.0
Yulara,AU,,,1563683635,,,,,0.0,66.2,8.05,-25.24,130.99,25.0
Salalah,OM,,,1563683635,,,,,90.0,78.8,6.93,17.01,54.1,94.0
Aklavik,CA,,,1563683118,,,,,90.0,68.0,25.28,68.22,-135.01,56.0
Longyearbyen,NO,,,1563683640,,,,,75.0,41.0,16.11,78.22,15.63,86.0
Ust-Tsilma,RU,,,1563683641,,,,,23.0,63.5,6.73,65.44,52.15,62.0
Steinbach,CA,,,1563683646,,,,,20.0,60.01,6.93,49.53,-96.69,87.0
Casablanca,MA,,,1563683650,,,,,75.0,71.6,5.82,33.6,-7.62,94.0
La Ronge,CA,,,1563683654,,,,,5.0,57.2,2.57,55.1,-105.3,71.0
Leon Valley,US,,,1563683656,,,,,1.0,84.2,9.17,29.5,-98.62,57.0
Sibu,MY,,,1563683461,,,,,75.0,80.6,4.59,2.29,111.83,88.0
Iqaluit,CA,,,1563683658,,,,,90.0,39.2,9.17,63.75,-68.52,100.0
Santa Cruz,BR,,,1563683534,,,,,52.0,65.12,6.15,-6.22,-36.02,95.0
Pisco,PE,,,1563683660,,,,,90.0,61.0,5.82,-13.71,-76.2,87.0
Vao,EE,,,1563683660,,,,,0.0,69.08,3.24,59.1,26.19,56.0
Mehamn,NO,,,1563683660,,,,,21.0,57.2,3.91,71.03,27.85,61.0
Betulia,CO,,,1563683661,,,,,40.0,57.2,3.36,6.11,-75.98,93.0
Tomatlan,MX,,,1563683661,,,,,100.0,80.06,4.52,19.93,-105.25,69.0
Beeville,US,,,1563683664,,,,,1.0,84.0,13.87,28.4,-97.75,83.0
Guerrero Negro,MX,,,1563683666,,,,,82.0,65.3,14.41,27.97,-114.04,86.0
Klaeng,TH,,,1563683666,,,,,100.0,86.0,8.66,12.78,101.65,74.0
Sitka,US,,,1563683667,,,,,4.0,78.01,3.0,37.17,-99.65,65.0
Oliveira dos Brejinhos,BR,,,1563683675,,,,,0.0,60.62,4.94,-12.32,-42.89,85.0
Lianzhou,CN,,,1563683676,,,,,74.0,90.86,4.94,24.79,112.38,49.0
Hirara,JP,,,1563683677,,,,,75.0,87.8,13.87,24.8,125.28,79.0
Nanortalik,GL,,,1563683678,,,,,99.0,38.84,4.61,60.14,-45.24,98.0
Okahandja,NA,,,1563683678,,,,,0.0,50.0,9.17,-21.98,16.91,16.0
Aqtobe,KZ,,,1563683652,,,,,0.0,77.0,20.13,50.28,57.21,47.0
Joensuu,FI,,,1563683679,,,,,0.0,62.01,0.74,62.6,29.76,87.0
Coahuayana,MX,,,1563683680,,,,,100.0,69.8,1.63,18.62,-100.35,97.0
Aswan,EG,,,1563683680,,,,,0.0,87.8,8.05,24.09,32.9,27.0
Beidao,CN,,,1563683680,,,,,96.0,78.98,14.76,34.57,105.89,59.0
Puerto Madryn,AR,,,1563683635,,,,,100.0,43.16,18.54,-42.77,-65.04,80.0
Chapais,CA,,,1563683681,,,,,90.0,59.0,3.36,49.78,-74.86,87.0
Sobolevo,RU,,,1563683681,,,,,0.0,63.68,4.38,54.43,31.9,75.0
Totma,RU,,,1563683681,,,,,100.0,56.48,7.99,59.98,42.76,86.0
Cacequi,BR,,,1563683682,,,,,24.0,65.66,9.35,-29.88,-54.83,79.0
Salinas,US,,,1563683451,,,,,75.0,66.0,3.36,36.67,-121.66,87.0
Cherskiy,RU,,,1563683682,,,,,88.0,57.56,11.43,68.75,161.3,41.0
Half Moon Bay,US,,,1563683683,,,,,90.0,64.4,3.36,37.46,-122.43,93.0
Tevaitoa,PF,,,1563683683,,,,,25.0,76.46,18.39,-16.78,-151.5,79.0
Poum,MK,,,1563683683,,,,,0.0,66.74,0.65,41.28,20.71,65.0
Traipu,BR,,,1563683684,,,,,35.0,65.66,6.82,-9.97,-37.0,97.0
Aromashevo,RU,,,1563683524,,,,,96.0,73.76,6.15,56.86,68.64,80.0
Balabac,PH,,,1563683684,,,,,49.0,86.36,10.07,7.99,117.06,68.0
Laguna,BZ,,,1563683700,,,,,90.0,75.2,1.54,16.17,-88.94,94.0
Doba,ET,,,1563683701,,,,,60.0,82.04,9.55,9.29,41.09,45.0
Voznesenye,RU,,,1563683701,,,,,91.0,62.42,4.83,61.02,35.48,71.0
Saint-Georges,CA,,,1563683702,,,,,11.0,77.0,1.99,46.12,-70.67,100.0
Pacific Grove,US,,,1563683702,,,,,75.0,63.0,3.36,36.62,-121.92,87.0
